track_id,track_name,artist,album_name,popularity,release_date
2XHzzp1j4IfTNp1FTn7YFg,Love Me,Lil Wayne,I Am Not A Human Being II (Deluxe),80,2013-01-01
4EWCNWgDS8707fNSZ1oaA5,Heartless,Kanye West,808s & Heartbreak,80,2008-11-24
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,Alone At Prom,80,2021-12-10
3ZaEs1O8BG581qYPHpQ8d6,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),80,2023-08-18
5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,Kanye West,Graduation,80,2007-09-11
4lH6nENd1y81jp7Yt9lTBX,Solo,Future,HNDRXX,78,2017-07-27
28drn6tQo95MRvO0jQEo5C,Type Shit,Future,WE DON'T TRUST YOU,79,2024-03-22
6LxSe8YmdPxy095Ux6znaQ,Headlines,Drake,Take Care (Deluxe),77,2011-11-15
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,Gunna,One of Wun,78,2024-05-10
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,One of Wun,78,2024-05-10
6HZILIRieu8S0iqY8kIKhj,DNA.,Kendrick Lamar,DAMN.,78,2017-04-14
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),USHER,Confessions (Expanded Edition),80,2004-03-23
77DRzu7ERs0TX3roZcre7Q,euphoria,Kendrick Lamar,euphoria,77,2024-04-30
59nOXPmaKlBfGMDeOVGrIK,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,79,2022-04-29
7FAFkQQZFeNwOFzTrSDFIh,The Spins,Mac Miller,K.I.D.S. (Deluxe),78,2010-08-13
7EiZI6JVHllARrX9PUvAdX,Low Life (feat. The Weeknd),Future,EVOL,80,2016-04-13
7AQim7LbvFVZJE3O8TYgf2,Fuck Love,XXXTENTACION,17,79,2017-08-25
2d8JP84HNLKhmd6IYOoupQ,Trap Queen,Fetty Wap,Fetty Wap (Deluxe),74,2015-09-25
43PuMrRfbyyuz4QpZ3oAwN,Exchange,Bryson Tiller,T R A P S O U L,76,2015-10-02
3s7MCdXyWmwjdcWh7GWXas,Violent Crimes,Kanye West,ye,78,2018-06-01
2aPTvyE09vUCRwVvj0I8WK,Sundress,A$AP Rocky,Sundress,78,2018-11-20
5rgrBsAFYMun6yhtnLKRPz,Right My Wrongs,Bryson Tiller,T R A P S O U L,76,2015-10-02
5SkRLpaGtvYPhw02vZhQQ9,All Falls Down,Kanye West,The College Dropout,77,2004-02-10
2uwnP6tZVVmTovzX5ELooy,Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),75,2013-06-18
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,Drake,More Life,78,2017-03-18
1zi7xx7UVEFkmKfv06H8x0,One Dance,Drake,Views,81,2016-05-06
7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,Graduation,78,2007-09-11
3GZD6HmiNUhxXYf8Gch723,Lost,Frank Ocean,channel ORANGE,78,2012-07-10
4tqcoej1zPvwePZCzuAjJd,Wet Dreamz,J. Cole,2014 Forest Hills Drive,76,2014-12-09
